province,country,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
,Papua New Guinea,516.0,6.0,232.0,278.0,5.767278896107054,1.1627906976744187
,Paraguay,33015.0,636.0,17535.0,14844.0,462.8792307918789,1.926397092230804
Amazonas,Peru,12987.0,204.0,0.0,12783.0,3042.8772258669164,1.5708015708015708
Ancash,Peru,21235.0,1248.0,0.0,19987.0,1798.6616974419787,5.8770897103838005
Apurimac,Peru,4200.0,79.0,0.0,4121.0,975.156721615974,1.8809523809523812
Arequipa,Peru,39046.0,1297.0,0.0,37749.0,2607.586483237612,3.321723095835681
Ayacucho,Peru,10410.0,286.0,0.0,10124.0,1557.9167913798265,2.7473583093179634
Cajamarca,Peru,18433.0,441.0,0.0,17992.0,1268.005778358671,2.392448326371182
Callao,Peru,30730.0,1687.0,0.0,29043.0,2719.7097088237892,5.489749430523918
Cusco,Peru,19135.0,387.0,0.0,18748.0,1409.9918944808785,2.0224719101123596
Huancavelica,Peru,5997.0,102.0,0.0,5895.0,1641.6643854366275,1.7008504252126064
Huanuco,Peru,14919.0,366.0,0.0,14553.0,1962.251742733132,2.45324753669817
Ica,Peru,25278.0,1546.0,0.0,23732.0,2592.0836751435604,6.115990189097239
Junin,Peru,17991.0,723.0,0.0,17268.0,1321.4102093279469,4.018676004669001
La Libertad,Peru,26715.0,2158.0,0.0,24557.0,1324.6231654105513,8.077858880778589
Lambayeque,Peru,24711.0,1650.0,0.0,23061.0,1885.1846200793411,6.677188296709967
Lima,Peru,349167.0,14009.0,0.0,335158.0,3285.195465023287,4.012120274825513
Loreto,Peru,17506.0,940.0,0.0,16566.0,1703.5811599844296,5.369587569976008
Madre de Dios,Peru,7366.0,136.0,0.0,7230.0,4238.204833141542,1.8463209340211784
Moquegua,Peru,11703.0,253.0,0.0,11450.0,6073.170731707317,2.161838844740665
Pasco,Peru,4657.0,100.0,0.0,4557.0,1712.7620448694372,2.1473051320592655
Piura,Peru,33299.0,1911.0,0.0,31388.0,1625.927734375,5.738911078410763
Puno,Peru,11588.0,278.0,0.0,11310.0,936.0258481421648,2.399033482913359
San Martin,Peru,16297.0,686.0,0.0,15611.0,1811.5829257447754,4.20936368656808
Tacna,Peru,11012.0,194.0,0.0,10818.0,2968.194070080863,1.7617144932800581
Tumbes,Peru,6735.0,293.0,0.0,6442.0,2677.9324055666,4.3504083147735715
Ucayali,Peru,15295.0,309.0,0.0,14986.0,2596.3333899168224,2.020268061457993
Unknown,Peru,0.0,0.0,594513.0,-594513.0,,0.0
,Philippines,283460.0,4930.0,209885.0,68645.0,258.67602971808503,1.7392224652508292
,Poland,78330.0,2282.0,63861.0,12187.0,206.9670449965063,2.9133154602323503
,Portugal,68025.0,1899.0,45404.0,20722.0,667.127142125394,2.7916207276736493
,Qatar,123146.0,209.0,120089.0,2848.0,4274.329587026997,0.16971724619557274
,Romania,111550.0,4402.0,89119.0,18029.0,579.851564237313,3.9462124607799196
Adygea Republic,Russia,3775.0,31.0,3253.0,491.0,832.6422219085263,0.8211920529801325
Altai Krai,Russia,12914.0,164.0,11648.0,1102.0,549.5132080610022,1.2699396004336378
Altai Republic,Russia,2798.0,12.0,2235.0,551.0,1283.1154299445573,0.42887776983559683
Amur Oblast,Russia,3959.0,50.0,3514.0,395.0,495.85182810135973,1.262945188178833
Arkhangelsk Oblast,Russia,12290.0,257.0,9799.0,2234.0,1064.0434690760744,2.0911310008136694
Astrakhan Oblast,Russia,6550.0,94.0,6144.0,312.0,643.725786573944,1.4351145038167938
Bashkortostan Republic,Russia,8384.0,33.0,8158.0,193.0,206.33510800230246,0.3936068702290076
